"Дата операции";"Дата платежа";"Номер карты";"Статус";"Сумма операции";"Валюта операции";"Сумма платежа";"Валюта платежа";"Кэшбэк";"Категория";"MCC";"Описание";"Бонусы (включая кэшбэк)";"Округление на инвесткопилку";"Сумма операции с округлением"
"18.04.2025 17:18:46";"18.04.2025";"";"OK";"8000,00";"RUB";"8000,00";"RUB";"";"Переводы";"";"Перевод между счетами";"0,00";"0,00";"8000,00"
"18.04.2025 17:18:46";"18.04.2025";"";"OK";"-8000,00";"RUB";"-8000,00";"RUB";"";"Переводы";"";"Перевод между счетами";"0,00";"0,00";"8000,00"
"18.04.2025 17:18:30";"18.04.2025";"";"OK";"3000,00";"RUB";"3000,00";"RUB";"";"Переводы";"";"Перевод между счетами";"0,00";"0,00";"3000,00"
"18.04.2025 17:18:29";"18.04.2025";"";"OK";"-3000,00";"RUB";"-3000,00";"RUB";"";"Переводы";"";"Перевод между счетами";"0,00";"0,00";"3000,00"
"18.04.2025 01:51:46";"18.04.2025";"*8596";"OK";"11593,15";"RUB";"11593,15";"RUB";"";"Вклады";"";"Начисление процентов по вкладу Т-Банк";"0,00";"0,00";"11593,15"
"16.04.2025 15:17:57";"16.04.2025";"*8596";"OK";"-130,00";"RUB";"-130,00";"RUB";"1";"Фастфуд";"5814";"Столовая";"1,00";"0,00";"130,00"
"16.04.2025 13:02:54";"16.04.2025";"";"OK";"-100,00";"RUB";"-100,00";"RUB";"";"Различные товары";"5734";"Hitvpn";"0,00";"0,00";"100,00"
"15.04.2025 17:07:09";"15.04.2025";"";"OK";"-4,00";"RUB";"-4,00";"RUB";"";"Переводы";"";"Перевод округлений";"0,00";"0,00";"4,00"
"15.04.2025 17:07:08";"15.04.2025";"";"OK";"-1016,00";"RUB";"-1016,00";"RUB";"121";"Животные";"5995";"ЗооОптТоргРФ";"121,92";"0,00";"1016,00"
"15.04.2025 13:48:11";"15.04.2025";"";"OK";"-109,00";"RUB";"-109,00";"RUB";"";"Переводы";"";"Александра Х.";"0,00";"0,00";"109,00"
"15.04.2025 12:41:53";"15.04.2025";"";"OK";"-299,00";"RUB";"-299,00";"RUB";"";"Другое";"";"Подписка pro";"0,00";"0,00";"299,00"
"15.04.2025 11:13:33";"15.04.2025";"";"OK";"2071,20";"RUB";"2071,20";"RUB";"";"Переводы";"";"Перевод между счетами";"0,00";"0,00";"2071,20"
"15.04.2025 11:13:32";"15.04.2025";"";"OK";"-2071,20";"RUB";"-2071,20";"RUB";"";"Переводы";"";"Перевод между счетами";"0,00";"0,00";"2071,20"
"15.04.2025 11:08:47";"15.04.2025";"";"OK";"-1200,00";"RUB";"-1200,00";"RUB";"";"Переводы";"";"Александра Х.";"0,00";"0,00";"1200,00"
"15.04.2025 10:40:10";"15.04.2025";"";"OK";"5000,00";"RUB";"5000,00";"RUB";"";"Переводы";"";"Михаил С.";"0,00";"0,00";"5000,00"
"15.04.2025 10:35:20";"15.04.2025";"*8596";"OK";"5000,00";"RUB";"5000,00";"RUB";"";"Переводы";"";"Михаил С.";"0,00";"0,00";"5000,00"
"15.04.2025 09:28:51";"15.04.2025";"";"OK";"-1,60";"RUB";"-1,60";"RUB";"";"Переводы";"";"Перевод округлений";"0,00";"0,00";"1,60"
"15.04.2025 09:28:50";"15.04.2025";"*8596";"OK";"-838,40";"RUB";"-838,40";"RUB";"41";"Аптеки";"5912";"Аптека";"41,00";"0,00";"838,40"
"15.04.2025 09:07:17";"15.04.2025";"";"OK";"1000,00";"RUB";"1000,00";"RUB";"";"Переводы";"";"Перевод между счетами";"0,00";"0,00";"1000,00"
"15.04.2025 09:07:16";"15.04.2025";"";"OK";"-1000,00";"RUB";"-1000,00";"RUB";"";"Переводы";"";"Перевод между счетами";"0,00";"0,00";"1000,00"
"14.04.2025 15:51:42";"14.04.2025";"";"OK";"-8,00";"RUB";"-8,00";"RUB";"";"Переводы";"";"Перевод округлений";"0,00";"0,00";"8,00"
"14.04.2025 15:51:42";"14.04.2025";"*8596";"OK";"-132,00";"RUB";"-132,00";"RUB";"1";"Фастфуд";"5814";"Пекарня";"1,00";"0,00";"132,00"
"14.04.2025 15:50:08";"14.04.2025";"";"OK";"-0,02";"RUB";"-0,02";"RUB";"";"Переводы";"";"Перевод округлений";"0,00";"0,00";"0,02"
"14.04.2025 15:50:08";"14.04.2025";"*8596";"OK";"-169,98";"RUB";"-169,98";"RUB";"1";"Супермаркеты";"5411";"Монетка";"1,00";"0,00";"169,98"
"14.04.2025 13:11:02";"14.04.2025";"";"OK";"-8,08";"RUB";"-8,08";"RUB";"";"Переводы";"";"Перевод округлений";"0,00";"0,00";"8,08"
"14.04.2025 13:11:01";"14.04.2025";"*8596";"OK";"-51,92";"RUB";"-51,92";"RUB";"";"Развлечения";"7999";"Whoosh";"0,00";"0,00";"51,92"
"13.04.2025 23:26:21";"13.04.2025";"";"OK";"-71,20";"RUB";"-71,20";"RUB";"";"Услуги банка";"";"Плата за Программу страховой защиты";"0,00";"0,00";"71,20"
"13.04.2025 22:35:15";"13.04.2025";"";"OK";"114,50";"RUB";"114,50";"RUB";"";"Проценты";"";"Проценты на остаток";"0,00";"0,00";"114,50"
"13.04.2025 15:40:02";"13.04.2025";"";"OK";"-5,00";"RUB";"-5,00";"RUB";"";"Переводы";"";"Перевод округлений";"0,00";"0,00";"5,00"
"13.04.2025 15:40:01";"13.04.2025";"*8596";"OK";"-975,00";"RUB";"-975,00";"RUB";"9";"Супермаркеты";"3990";"Яндекс Лавка";"9,00";"0,00";"975,00"
"13.04.2025 15:34:36";"13.04.2025";"";"OK";"1000,00";"RUB";"1000,00";"RUB";"";"Переводы";"";"Перевод между счетами";"0,00";"0,00";"1000,00"
"13.04.2025 15:34:35";"13.04.2025";"";"OK";"-1000,00";"RUB";"-1000,00";"RUB";"";"Переводы";"";"Перевод между счетами";"0,00";"0,00";"1000,00"
"13.04.2025 07:46:36";"13.04.2025";"*8596";"OK";"-439,97";"RUB";"-439,97";"RUB";"4";"Супермаркеты";"5411";"Монетка";"4,00";"0,00";"439,97"
"13.04.2025 07:46:36";"13.04.2025";"";"OK";"-0,03";"RUB";"-0,03";"RUB";"";"Переводы";"";"Перевод округлений";"0,00";"0,00";"0,03"
"13.04.2025 07:46:28";"13.04.2025";"";"OK";"500,00";"RUB";"500,00";"RUB";"";"Переводы";"";"Перевод между счетами";"0,00";"0,00";"500,00"
"13.04.2025 07:46:27";"13.04.2025";"";"OK";"-500,00";"RUB";"-500,00";"RUB";"";"Переводы";"";"Перевод между счетами";"0,00";"0,00";"500,00"
"12.04.2025 19:51:22";"12.04.2025";"*8596";"OK";"-1110,00";"RUB";"-1110,00";"RUB";"11";"Фастфуд";"5814";"Додо Пицца";"11,00";"0,00";"1110,00"
"12.04.2025 19:51:07";"12.04.2025";"";"OK";"1000,00";"RUB";"1000,00";"RUB";"";"Переводы";"";"Перевод между счетами";"0,00";"0,00";"1000,00"
"12.04.2025 19:51:06";"12.04.2025";"";"OK";"-1000,00";"RUB";"-1000,00";"RUB";"";"Переводы";"";"Перевод между счетами";"0,00";"0,00";"1000,00"
"12.04.2025 15:37:20";"12.04.2025";"";"OK";"-0,06";"RUB";"-0,06";"RUB";"";"Переводы";"";"Перевод округлений";"0,00";"0,00";"0,06"
"12.04.2025 15:37:20";"12.04.2025";"*8596";"OK";"-259,94";"RUB";"-259,94";"RUB";"2";"Супермаркеты";"5411";"Монетка";"2,00";"0,00";"259,94"
"12.04.2025 15:30:29";"12.04.2025";"*8596";"OK";"-720,00";"RUB";"-720,00";"RUB";"7";"Книги";"5942";"Читай-город";"7,00";"0,00";"720,00"
"12.04.2025 15:27:34";"12.04.2025";"";"OK";"1000,00";"RUB";"1000,00";"RUB";"";"Переводы";"";"Перевод между счетами";"0,00";"0,00";"1000,00"
"12.04.2025 15:27:33";"12.04.2025";"";"OK";"-1000,00";"RUB";"-1000,00";"RUB";"";"Переводы";"";"Перевод между счетами";"0,00";"0,00";"1000,00"
"12.04.2025 15:07:00";"12.04.2025";"*8596";"OK";"-135,00";"RUB";"-135,00";"RUB";"1";"Фастфуд";"5814";"Столовая";"1,00";"0,00";"135,00"
"12.04.2025 15:07:00";"12.04.2025";"";"OK";"-5,00";"RUB";"-5,00";"RUB";"";"Переводы";"";"Перевод округлений";"0,00";"0,00";"5,00"
"12.04.2025 09:10:12";"12.04.2025";"*8596";"OK";"-334,56";"RUB";"-334,56";"RUB";"3";"Супермаркеты";"5411";"Лента";"3,00";"0,00";"334,56"
"12.04.2025 09:10:12";"12.04.2025";"";"OK";"-5,44";"RUB";"-5,44";"RUB";"";"Переводы";"";"Перевод округлений";"0,00";"0,00";"5,44"
"12.04.2025 09:06:54";"12.04.2025";"";"OK";"500,00";"RUB";"500,00";"RUB";"";"Переводы";"";"Перевод между счетами";"0,00";"0,00";"500,00"
"12.04.2025 09:06:53";"12.04.2025";"";"OK";"-500,00";"RUB";"-500,00";"RUB";"";"Переводы";"";"Перевод между счетами";"0,00";"0,00";"500,00"
"12.04.2025 09:03:03";"12.04.2025";"";"OK";"-8,00";"RUB";"-8,00";"RUB";"";"Переводы";"";"Перевод округлений";"0,00";"0,00";"8,00"
"12.04.2025 09:03:02";"12.04.2025";"*8596";"OK";"-452,00";"RUB";"-452,00";"RUB";"22";"Такси";"3990";"Яндекс Такси";"22,00";"0,00";"452,00"
"12.04.2025 06:59:17";"12.04.2025";"*8596";"OK";"-306,00";"RUB";"-306,00";"RUB";"15";"Такси";"3990";"Яндекс Такси";"15,00";"0,00";"306,00"
"12.04.2025 06:59:17";"12.04.2025";"";"OK";"-4,00";"RUB";"-4,00";"RUB";"";"Переводы";"";"Перевод округлений";"0,00";"0,00";"4,00"
"12.04.2025 06:42:36";"12.04.2025";"*8596";"OK";"-79,99";"RUB";"-79,99";"RUB";"";"Супермаркеты";"5411";"Лента";"0,00";"0,00";"79,99"
"12.04.2025 06:42:36";"12.04.2025";"";"OK";"-0,01";"RUB";"-0,01";"RUB";"";"Переводы";"";"Перевод округлений";"0,00";"0,00";"0,01"
"11.04.2025 20:57:04";"11.04.2025";"";"OK";"1000,00";"RUB";"1000,00";"RUB";"";"Переводы";"";"Перевод между счетами";"0,00";"0,00";"1000,00"
"11.04.2025 20:57:03";"11.04.2025";"";"OK";"-1000,00";"RUB";"-1000,00";"RUB";"";"Переводы";"";"Перевод между счетами";"0,00";"0,00";"1000,00"
"11.04.2025 10:15:41";"11.04.2025";"";"OK";"-7,04";"RUB";"-7,04";"RUB";"";"Переводы";"";"Перевод округлений";"0,00";"0,00";"7,04"
"11.04.2025 10:15:40";"11.04.2025";"*8596";"OK";"-532,96";"RUB";"-532,96";"RUB";"5";"Супермаркеты";"5411";"Пятёрочка";"5,00";"0,00";"532,96"
"11.04.2025 10:14:12";"11.04.2025";"";"OK";"500,00";"RUB";"500,00";"RUB";"";"Переводы";"";"Перевод между счетами";"0,00";"0,00";"500,00"
"11.04.2025 10:14:11";"11.04.2025";"";"OK";"-500,00";"RUB";"-500,00";"RUB";"";"Переводы";"";"Перевод между счетами";"0,00";"0,00";"500,00"
"11.04.2025 08:20:27";"11.04.2025";"";"OK";"-9,00";"RUB";"-9,00";"RUB";"";"Переводы";"";"Перевод округлений";"0,00";"0,00";"9,00"
"11.04.2025 08:20:27";"11.04.2025";"";"OK";"-991,00";"RUB";"-991,00";"RUB";"118";"Животные";"5995";"ЗооОптТоргРФ";"118,92";"0,00";"991,00"
"11.04.2025 08:17:01";"11.04.2025";"";"OK";"-1000,00";"RUB";"-1000,00";"RUB";"";"Переводы";"";"Перевод между счетами";"0,00";"0,00";"1000,00"
"11.04.2025 08:17:01";"11.04.2025";"";"OK";"1000,00";"RUB";"1000,00";"RUB";"";"Переводы";"";"Перевод между счетами";"0,00";"0,00";"1000,00"
"10.04.2025 14:50:46";"10.04.2025";"";"OK";"-2,03";"RUB";"-2,03";"RUB";"";"Переводы";"";"Перевод округлений";"0,00";"0,00";"2,03"
